idx,ani_name,eventcount,event1_time,event1_name,effectarrayidx1,effecttarget1,event2_time,event2_name,effectarrayidx2,effecttarget2,event3_time,event3_name,effectarrayidx3,effecttarget3,event4_time,event4_name,effectarrayidx4,effecttarget4
4,pirate_attack1,2,0.2,OnDamage,0,0,1.05,ChangeState,0,0,,,,,,,,
5,pirate_elite_attack1,2,0.2,OnDamage,0,0,1.05,ChangeState,0,0,,,,,,,,
405,pirate_elite_attack2,2,0.5,RangeAttack,0,0,1.15,ChangeState,0,0,,,,,,,,
500,ca_ani_attack1,2,0.4,OnDamage,0,0,1.15,ChangeState,0,0,,,,,,,,
500,ca_ani_attack1_wing,2,0.4,OnDamage,0,0,1.15,ChangeState,0,0,,,,,,,,
500,he_ani_attack1,2,0.4,OnDamage,0,0,1.32,ChangeState,0,0,,,,,,,,
500,he_ani_attack1_wing,2,0.4,OnDamage,0,0,1.32,ChangeState,0,0,,,,,,,,
500,om_ani_attack1,2,0.4,OnDamage,0,0,0.89,ChangeState,0,0,,,,,,,,
500,om_ani_attack1_wing,2,0.4,OnDamage,0,0,0.89,ChangeState,0,0,,,,,,,,
501,ca_ani_attack2,2,0.4,OnDamage,0,0,1.15,ChangeState,0,0,,,,,,,,
501,he_ani_attack2,2,0.4,OnDamage,0,0,1.15,ChangeState,0,0,,,,,,,,
501,om_ani_attack2,2,0.4,OnDamage,0,0,1.15,ChangeState,0,0,,,,,,,,
502,ca_ani_attack3,2,0.4,OnDamage,0,0,1.15,ChangeState,0,0,,,,,,,,
502,he_ani_attack3,2,0.4,OnDamage,0,0,1.15,ChangeState,0,0,,,,,,,,
502,om_ani_attack3,2,0.4,OnDamage,0,0,1.15,ChangeState,0,0,,,,,,,,
503,ca_ani_attack4,2,0.4,OnDamage,0,0,1.15,ChangeState,0,0,,,,,,,,
503,he_ani_attack4,2,0.4,OnDamage,0,0,1.15,ChangeState,0,0,,,,,,,,
503,om_ani_attack4,2,0.4,OnDamage,0,0,1.15,ChangeState,0,0,,,,,,,,
504,ca_ani_attack5,2,0.4,OnDamage,0,0,1.15,ChangeState,0,0,,,,,,,,
504,he_ani_attack5,2,0.4,OnDamage,0,0,1.15,ChangeState,0,0,,,,,,,,
504,om_ani_attack5,2,0.4,OnDamage,0,0,1.15,ChangeState,0,0,,,,,,,,
505,ca_ani_attack6,2,0.4,OnDamage,0,0,1.15,ChangeState,0,0,,,,,,,,
505,he_ani_attack6,2,0.4,OnDamage,0,0,1.15,ChangeState,0,0,,,,,,,,
505,om_ani_attack6,2,0.4,OnDamage,0,0,1.15,ChangeState,0,0,,,,,,,,
1001,ca_orange_Headbutt,2,0.4,OnDamage,0,0,1.15,ChangeState,0,0,,,,,,,,
1001,he_orange_Headbutt,2,0.4,OnDamage,0,0,1.15,ChangeState,0,0,,,,,,,,
1001,om_orange_Headbutt,2,0.4,OnDamage,0,0,1.15,ChangeState,0,0,,,,,,,,
1002,ca_orange_moon_sword,2,0.8,OnDamage,0,0,1.15,ChangeState,0,0,,,,,,,,
1002,he_orange_moon_sword,2,0.8,OnDamage,0,0,1.15,ChangeState,0,0,,,,,,,,
1002,om_orange_moon_sword,2,0.8,OnDamage,0,0,1.15,ChangeState,0,0,,,,,,,,
1003,ca_orange_rolling_attack,2,0.4,OnDamage,0,0,1.15,ChangeState,0,0,,,,,,,,
1003,he_orange_rolling_attack,2,0.4,OnDamage,0,0,1.15,ChangeState,0,0,,,,,,,,
1003,om_orange_rolling_attack,2,0.4,OnDamage,0,0,1.15,ChangeState,0,0,,,,,,,,
1005,ca_watermelon_Headbutt_rolling,2,1.1,RangeAttack,0,0,2,ChangeState,0,0,,,,,,,,
1005,he_watermelon_Headbutt_rolling,2,1.1,RangeAttack,0,0,2,ChangeState,0,0,,,,,,,,
1005,om_watermelon_Headbutt_rolling,2,1.1,RangeAttack,0,0,2,ChangeState,0,0,,,,,,,,
1006,ca_watermelon_seed_gun,2,0.4,OnDamage,0,0,1.15,ChangeState,0,0,,,,,,,,
1006,he_watermelon_seed_gun,2,0.4,OnDamage,0,0,1.15,ChangeState,0,0,,,,,,,,
1006,om_watermelon_seed_gun,2,0.4,OnDamage,0,0,1.15,ChangeState,0,0,,,,,,,,
1007,ca_watermelon_seed_turn,2,0.4,OnDamage,0,0,1.15,ChangeState,0,0,,,,,,,,
1007,he_watermelon_seed_turn,2,0.4,OnDamage,0,0,1.15,ChangeState,0,0,,,,,,,,
1007,om_watermelon_seed_turn,2,0.4,OnDamage,0,0,1.15,ChangeState,0,0,,,,,,,,
1013,ca_coconut_barrier01,2,0.4,OnDamage,0,0,1.15,ChangeState,0,0,,,,,,,,
1013,he_coconut_barrier01,2,0.4,OnDamage,0,0,1.15,ChangeState,0,0,,,,,,,,
1013,om_coconut_barrier01,2,0.4,OnDamage,0,0,1.15,ChangeState,0,0,,,,,,,,
1017,ca_blueberry_berry_gun,2,0.4,RangeAttack,0,0,2,ChangeState,0,0,,,,,,,,
1017,he_blueberry_berry_gun,2,0.4,RangeAttack,0,0,2,ChangeState,0,0,,,,,,,,
1017,om_blueberry_berry_gun,2,0.4,RangeAttack,0,0,2,ChangeState,0,0,,,,,,,,
1018,ca_blueberry_bubble_shotgun,2,1,OnDamage,0,0,1.15,ChangeState,0,0,,,,,,,,
1018,he_blueberry_bubble_shotgun,2,1,OnDamage,0,0,1.15,ChangeState,0,0,,,,,,,,
1018,om_blueberry_bubble_shotgun,2,1,OnDamage,0,0,1.15,ChangeState,0,0,,,,,,,,
1019,ca_blueberry_parabola_shot,2,1.5,OnDamage,0,0,1.15,ChangeState,0,0,,,,,,,,
1019,he_blueberry_parabola_shot,2,1.5,OnDamage,0,0,1.15,ChangeState,0,0,,,,,,,,
1019,om_blueberry_parabola_shot,2,1.5,OnDamage,0,0,1.15,ChangeState,0,0,,,,,,,,
1037,ca_dragonfruit_fly_air_breath,2,2,OnDamage,0,0,4,ChangeState,0,0,,,,,,,,
1037,he_dragonfruit_fly_air_breath,2,2,OnDamage,0,0,4,ChangeState,0,0,,,,,,,,
1037,om_dragonfruit_fly_air_breath,2,2,OnDamage,0,0,4,ChangeState,0,0,,,,,,,,
1038,ca_dragonfruit_fly_tumbleing_breath,2,2,OnDamage,0,0,4,ChangeState,0,0,,,,,,,,
1038,he_dragonfruit_fly_tumbleing_breath,2,2,OnDamage,0,0,4,ChangeState,0,0,,,,,,,,
1038,om_dragonfruit_fly_tumbleing_breath,2,2,OnDamage,0,0,4,ChangeState,0,0,,,,,,,,
1101,ca_orange_buff01,2,1,OnDamage,0,0,1.15,ChangeState,0,0,,,,,,,,
1101,he_orange_buff01,2,1,OnDamage,0,0,1.15,ChangeState,0,0,,,,,,,,
1101,om_orange_buff01,2,1,OnDamage,0,0,1.15,ChangeState,0,0,,,,,,,,
1102,ca_orange_tail_drill,2,0.7,OnDamage,0,0,1.15,ChangeState,0,0,,,,,,,,
1102,he_orange_tail_drill,2,0.7,OnDamage,0,0,1.15,ChangeState,0,0,,,,,,,,
1102,om_orange_tail_drill,2,0.7,OnDamage,0,0,1.15,ChangeState,0,0,,,,,,,,
1103,ca_orange_tail_knife,2,0.5,OnDamage,0,0,1.15,ChangeState,0,0,,,,,,,,
1103,he_orange_tail_knife,2,0.5,OnDamage,0,0,1.15,ChangeState,0,0,,,,,,,,
